Country,count
united kingdom - england,39
spain,36
japan,26
italy,24
france,22
germany,13
netherlands,11
new zealand,10
ireland,10
korea,9
australia,9
mexico,8
chile,7
singapore,7
hong kong,6
denmark,6
china,6
thailand,6
switzerland,5
taiwan,5
costa rica,5
united kingdom - scotland,4
greece,4
ghana,4
south africa,4
norway,4
argentina,3
israel,3
belgium,3
iceland,3
canada,3
philippines,2
sweden,2
brazil,2
czech republic,2
jordan,2
russia,2
ecuador,2
peru,1
dominican republic,1
egypt,1
morocco,1
botswana,1
india,1
barbados,1
austria,1
indonesia,1
