,Country,Female
49,spain,2091411144
29,italy,1059020914
18,france,99911609
56,united kingdom - england,60913553
9,chile,3081932
19,germany,732974
0,argentina,470308
2,australia,295444
35,mexico,263819
37,netherlands,141722
55,turkey,20286
13,czech republic,7282
47,south,4722
33,korea,4722
30,japan,3167
57,united kingdom - scotland,2527
10,china,2171
22,hong kong,2123
27,ireland,2057
11,costa rica,1848
50,sweden,1703
3,austria,1287
7,brazil,1249
28,israel,1111
14,denmark,1021
38,new zealand,971
45,singapore,914
20,ghana,891
54,thailand,830
48,south africa,807
52,taiwan,746
25,india,512
23,hungary,500
42,russia,477
4,barbados,424
17,egypt,304
39,norway,266
8,canada,234
59,vietnam,179
32,kenya,162
12,cyprus,124
51,switzerland,119
26,indonesia,115
31,jordan,101
41,philippines,85
36,morocco,57
40,peru,52
15,dominican republic,47
46,solomon islands,44
34,lebanon,40
6,botswana,35
43,senegal,32
58,united states of america,19
53,tanzania,16
16,ecuador,15
24,iceland,6
21,greece,6
1,armenia,3
44,sierra leone,3
5,belgium,1
