Country,Male,Female,Program Title,GPA,English-language instruction?
argentina,21474,470308,"Global Internships: Buenos Aires, Argentina",2.0,Yes
argentina,21474,470308,Human Rights & Cultural Memory,2.5,Mixed
argentina,21474,470308,Travel Study: Spanish - Taking it to the Streets in the Buenos Aires,,
australia,"1,3829","2,95444",Animal and Zoological Management Internships,,Yes
australia,"1,3829","2,95444",Sustainable Animal Production Down Under,,Yes
australia,"1,3829","2,95444",Australian National University,2.75,yes
australia,"1,3829","2,95444",Marine Biology & Terrestrial Ecology - Univ. of Queensland,2.75,yes
australia,"1,3829","2,95444",University of Melbourne,2.85,yes
australia,"1,3829","2,95444",University of New South Wales,2.85,yes
australia,"1,3829","2,95444",University of Queensland,2.85,yes
australia,"1,3829","2,95444",University of Sydney,2.8,yes
australia,"1,3829","2,95444",Macquarie University,,
austria,912,1287,Vienna - Crossroads of Central Europe,,Yes
barbados,123,424,University of the West Indies,2.75,yes
belgium,1,1,Microbiology in Europe's Capital—Brussels,,Yes
belgium,1,1,Field Research and Internship - Brussels,3.0,No
belgium,1,1,Travel Study: Management - International Business and Law,,
botswana,14,35,"Community Public Health - University of Botswana, CIEE",2.75,yes
brazil,597,"1,249",Brazil Summer Seminar - PUC Rio,2.85,Mixed
brazil,597,"1,249",PUC Rio,2.85,Mixed
canada,124,234,"Global Internships: Toronto, Canada - Engineering",2.0,Yes
canada,124,234,McGill,3.0,yes
canada,124,234,UBC,3.0,yes
chile,74697,"3081,932","Human Rights, Memory and Democracy",,Yes
chile,74697,"3081,932",Human Rights & Cultural Memory,2.5,Mixed
chile,74697,"3081,932",Business and Economics in English - University of Chile,2.85,yes
chile,74697,"3081,932",PUC Chile,2.85,No
chile,74697,"3081,932",Socio-Ecological Sustainability in Southern Chile - University of Chile,2.85,yes
chile,74697,"3081,932",University of Chile,2.85,No
chile,74697,"3081,932",Global Internship: Sociology,,Yes
china,"1,646","2,171",Chinese in Beijing - Peking University,2.5,No
china,"1,646","2,171",Fudan University,3.0,Mixed
china,"1,646","2,171",Peking University,3.0,No
china,"1,646","2,171",Shanghai Summer - Fudan,2.85,yes
china,"1,646","2,171",Summer Global Internship - CIEE Shanghai,2.5,yes
china,"1,646","2,171",Tsinghua University,3.0,Mixed
costa rica,781,"1,848",Education Internships,,Yes
costa rica,781,"1,848","Wildlife, Conservation, and Veterinary Medicine Internships",,Yes
costa rica,781,"1,848",Tropical Biology & Conservation - Monteverde Institute,2.5,yes
costa rica,781,"1,848",Startup Bootcamp: An International Perspective | Computer Science in Costa Rica,,
costa rica,781,"1,848",Sea Turtles and Tropical Field Ecology in Costa Rica,,
czech republic,2151,7282,Central European Studies - CIEE Prague,2.5,yes
czech republic,2151,7282,Summer Internship - Prague,2.75,yes
denmark,530,"1,021",Aarhus University,2.85,yes
denmark,530,"1,021",Copenhagen Business School,2.85,yes
denmark,530,"1,021",University of Copenhagen,2.85,yes
denmark,530,"1,021",Travel Study: ELTS - In the Footsteps of Hans Christian Andersen,,
denmark,530,"1,021",Aarhus University,,
denmark,530,"1,021",Technical University of Denmark,,
dominican republic,6,47,Community Public Health - CIEE,2.5,No
ecuador,5,15,Biodiversity and Evoluation of the Galapagos Islands and Mainland Ecuador,,
ecuador,5,15,Multiculturalism in Medieval Spain and the New World,,
egypt,211,304,American University in Cairo,2.0,yes
france,"2,9645175","9,9911609","Language, Literature and the Arts",2.0,Yes
france,"2,9645175","9,9911609",Introduction to Winemaking,,Yes
france,"2,9645175","9,9911609",World Cinema and the European Film Festival,,Yes
france,"2,9645175","9,9911609",Field Research and Internship - Paris,3.0,No
france,"2,9645175","9,9911609",Field Research and Internship - Strasburg,3.0,No
france,"2,9645175","9,9911609","Food, History, and Culture in Paris - UC Center Paris",2.0,Mixed
france,"2,9645175","9,9911609",French in Bordeaux - University of Bordeaux,2.5,No
france,"2,9645175","9,9911609",French in Paris - UC Center Paris,2.0,Mixed
france,"2,9645175","9,9911609",French in Paris - UC Center Paris (intensive),2.0,Mixed
france,"2,9645175","9,9911609",French in Paris - UC Center Paris (semi-intensive),2.0,Mixed
france,"2,9645175","9,9911609",Sciences Po - Political Science -  Paris,3.0,Mixed
france,"2,9645175","9,9911609",Social Justice and Activism - UC Center Paris,2.5,yes
france,"2,9645175","9,9911609",University of Bordeaux,2.75,Mixed
france,"2,9645175","9,9911609",University of Lyon,2.75,No
france,"2,9645175","9,9911609",Business and Entrepreneurship in London - UC Center London,2.5,yes
france,"2,9645175","9,9911609",Global Cities Urban Realities,2.5,yes
france,"2,9645175","9,9911609","Travel Study: ELTS - Exploring Sustainability in Nantes, France",,
france,"2,9645175","9,9911609",ISARA Lyon,,
france,"2,9645175","9,9911609",ISARA-Lyon,,
france,"2,9645175","9,9911609",Ecole Polytechnique,,
france,"2,9645175","9,9911609",L'Anatomie a Paris - an Inclusive Approach,,
france,"2,9645175","9,9911609",Sign Language Studies in Paris,,
germany,"22,3552","73,2974","The Psychology of Identity, Love, and Relationships",2.0,Yes
germany,"22,3552","73,2974",Berlin Experience,2.5,yes
germany,"22,3552","73,2974",Berlin Summer - Free University Berlin,2.75,Mixed
germany,"22,3552","73,2974",European Studies - Free University (BEST),2.85,Mixed
germany,"22,3552","73,2974",Free University Berlin,2.85,No
germany,"22,3552","73,2974",Humboldt University Berlin,2.85,No
germany,"22,3552","73,2974",International Summer School - Technical University,2.75,Mixed
germany,"22,3552","73,2974",Summer Global Internship - CIEE Berlin,2.5,yes
germany,"22,3552","73,2974",Technical University Berlin,2.85,No
germany,"22,3552","73,2974",Travel Study: ELTS - Diverse Berlin: Culture and Language in Context,,
germany,"22,3552","73,2974",Freie Universitat Berlin,,
germany,"22,3552","73,2974",Heidelberg University,,
germany,"22,3552","73,2974",Bauhaus-Universität Weimar,,
ghana,292,891,"Pan Afrikan Social Movements: Past, Present and Future",2.0,Yes
ghana,292,891,Pediatric Care and Reproductive Health Internships,,Yes
ghana,292,891,"Community-Based Health, Food Security, and Development",2.5,yes
ghana,292,891,University of Ghana,2.85,yes
greece,5,6,"Artmaking, Community, and Social Impact",2.0,Yes
greece,5,6,Mediterranean Nutrition and Food Systems,2.0,Yes
