Country,Program Title,GPA,English-language instruction?
argentina,"Global Internships: Buenos Aires, Argentina",2.0,Yes
canada,"Global Internships: Toronto, Canada - Engineering",2.0,Yes
france,"Language, Literature and the Arts",2.0,Yes
germany,"The Psychology of Identity, Love, and Relationships",2.0,Yes
ghana,"Pan Afrikan Social Movements: Past, Present and Future",2.0,Yes
greece,"Artmaking, Community, and Social Impact",2.0,Yes
greece,Mediterranean Nutrition and Food Systems,2.0,Yes
mexico,"Entre dos Mundos/Between Two Worlds | Nauatl and Spanish languages, cultures, and histories",,Yes
philippines,Narratives of Tradition and Resistance,2.0,Yes
portugal,Portugal: Global Entrepreneurship and Innovation in Europe,2.0,Yes
singapore,Global Internships: Singapore,2.0,Yes
spain,"Barcelona, Spain: The Other Side/El Otro Lado",2.0,Yes
spain,"Global Internships: Barcelona, Spain",2.0,Yes
spain,Spanish Language and Culture,2.0,Yes
sweden,"Global Internships: Stockholm, Sweden",2.0,Yes
united kingdom - england,"Global Internships: London, UK",2.0,Yes
united kingdom - england,London and Literary Imagination,2.0,Yes
united kingdom - england,"Muslims in the West: Immigration, Refugees and Islamophobia",2.0,Yes
australia,Animal and Zoological Management Internships,,Yes
australia,Sustainable Animal Production Down Under,,Yes
austria,Vienna - Crossroads of Central Europe,,Yes
belgium,Microbiology in Europe's Capital—Brussels,,Yes
belize,Paradise Found - Sustainable Planning and Design,,Yes
bhutan,GIS in the Land of the Thunder Dragon,,Yes
bolivia,Pediatric Health Internships,,Yes
chile,"Human Rights, Memory and Democracy",,Yes
costa rica,Education Internships,,Yes
costa rica,"Wildlife, Conservation, and Veterinary Medicine Internships",,Yes
france,Introduction to Winemaking,,Yes
ghana,Pediatric Care and Reproductive Health Internships,,Yes
greece,Writers in Greece,,Yes
iceland,Thermodynamics in the Land of Fire and Ice,,Yes
ireland,Bio Sci 2A on the Emerald Isle,,Yes
italy,"Art, Culture, History in the Eternal City",,Yes
italy,Immersive Artistry - Summer Sketching in Italy,,Yes
italy,Science of the Mind,,Yes
japan,Business and Communication Internships,,Yes
japan,Deisgn in Japan,,Yes
japan,Engineering and Computer Science Internships,,Yes
japan,"Global Internships: Tokyo, Japan",,Yes
japan,Life Sciences in Japan,,Yes
mexico,Building Sustainable Water Treatment Systems,,Yes
mexico,Latinx Health Internship in Oaxaca,,Yes
netherlands,Sustainable Urban Systems,,Yes
new zealand,"Environment, Green Tech, and Sustainability Internships",,Yes
new zealand,Psychology Internships,,Yes
philippines,Remote Island Medicine Internships,,Yes
south africa,Hospital Medicine and Health Disparities Internships,,Yes
spain,Business and Communication Internships,,Yes
spain,Engineering and Computer Science Internships,,Yes
spain,"Environment, Green Tech, and Sustainability Internships",,Yes
spain,History of Cancer,,Yes
spain,Housing and Urbanism in Barcelona,,Yes
spain,Psychology Internships,,Yes
spain,Three Cultures of Medieval Spain,,Yes
