,Country,Total
49,spain,209141114472553837
29,italy,105902091431597255
18,france,9991160929645175
56,united kingdom - england,609135531755315
19,germany,732974223552
9,chile,308193274697
0,argentina,47030821474
2,australia,29544413829
35,mexico,26381910302
37,netherlands,14172252889
55,turkey,202867162
13,czech republic,72822151
47,south,47222207
33,korea,47222207
30,japan,31672980
57,united kingdom - scotland,25271089
10,china,21711646
22,hong kong,21231378
50,sweden,17031362
27,ireland,2057653
11,costa rica,1848781
3,austria,1287912
7,brazil,1249597
28,israel,1111726
14,denmark,1021530
38,new zealand,971499
45,singapore,914579
20,ghana,891292
54,thailand,830357
48,south africa,807305
52,taiwan,746494
25,india,512282
23,hungary,500297
42,russia,477374
4,barbados,424123
17,egypt,304211
39,norway,266198
8,canada,234124
59,vietnam,17983
32,kenya,16294
12,cyprus,12428
51,switzerland,11928
26,indonesia,11581
31,jordan,10149
41,philippines,8547
36,morocco,5715
40,peru,5235
34,lebanon,4055
6,botswana,3514
15,dominican republic,476
46,solomon islands,449
43,senegal,323
58,united states of america,192
53,tanzania,166
16,ecuador,155
21,greece,65
24,iceland,64
1,armenia,31
44,sierra leone,31
5,belgium,11
