,Textual Answer,Textual Answer,Textual Answer,Textual Answer,Textual Answer
,Not applicable/ Don't know,Not at all,A little,Moderately,A lot
Opportunity to travel,7%,1%,3%,11%,78%
Developing independence,5%,1%,4%,18%,73%
Adapting to challenges,5%,1%,3%,20%,71%
Learning about the host (another or heritage) culture,3%,1%,6%,21%,69%
Developing intercultural skills,3%,1%,6%,25%,65%
Reasoning and problem-solving in an international context,3%,1%,7%,25%,63%
Fulfilling academic requirements,2%,3%,8%,25%,62%
Increased awareness of global issues,3%,1%,7%,29%,59%
Setting and meeting goals,6%,2%,9%,28%,55%
Developing leadership skills,7%,4%,15%,31%,43%
Getting a different perspective in their field of study,5%,5%,17%,32%,41%
Building language skills,9%,14%,23%,24%,31%
Expanding or improving career or postgraduate options,11%,16%,25%,25%,22%
Having internship/research/volunteer opportunities,11%,30%,21%,19%,19%
