,,Academic Yearof Participation,Academic Yearof Participation,Academic Yearof Participation,Academic Yearof Participation,Academic Yearof Participation,Academic Yearof Participation
,,2019-20,2020-21,2021-22,2022-23,2023-24,Grand Total
Agriculture & Natural Resources,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,4.25%,,2.63%,4.48%,4.96%,4.34%
Agriculture & Natural Resources,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,4.8%,,3.1%,5.2%,5.6%,5.0%
Architecture & Environ Design,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,0.41%,,0.24%,0.42%,0.33%,0.37%
Architecture & Environ Design,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,0.5%,,0.3%,0.5%,0.4%,0.4%
"Area, Ethn, Cultur & Gender Stu",% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,2.14%,2.50%,1.90%,1.78%,1.59%,1.86%
"Area, Ethn, Cultur & Gender Stu",Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,2.4%,2.8%,2.2%,2.1%,1.8%,2.1%
Biological Sciences,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,14.84%,3.75%,8.72%,10.52%,10.46%,11.74%
Biological Sciences,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,16.9%,4.2%,10.2%,12.1%,11.8%,13.4%
Business & Management,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,4.48%,13.75%,7.12%,5.78%,6.72%,5.81%
Business & Management,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,5.1%,15.3%,8.3%,6.7%,7.6%,6.6%
"Communication, Journalism & Rel",% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,3.74%,5.00%,3.41%,4.36%,3.27%,3.72%
"Communication, Journalism & Rel",Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,4.3%,5.6%,4.0%,5.0%,3.7%,4.2%
Computer & Information Sciences,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,3.19%,1.25%,4.19%,3.86%,5.75%,4.25%
Computer & Information Sciences,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,3.6%,1.4%,4.9%,4.4%,6.5%,4.8%
Education,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,0.11%,,0.58%,0.38%,0.68%,0.40%
Education,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,0.1%,,0.7%,0.4%,0.8%,0.5%
Engineering,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,5.32%,3.75%,4.24%,5.17%,5.26%,5.14%
Engineering,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,6.0%,4.2%,4.9%,6.0%,5.9%,5.9%
Family & Consumer Sci/Human Sci,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,0.18%,,0.29%,0.17%,0.17%,0.18%
Family & Consumer Sci/Human Sci,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,0.2%,,0.3%,0.2%,0.2%,0.2%
Fine & Applied Arts,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,4.14%,2.50%,5.56%,5.55%,5.80%,5.14%
Fine & Applied Arts,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,4.7%,2.8%,6.5%,6.4%,6.6%,5.9%
Foreign Languages & Literature,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,3.85%,1.25%,4.04%,3.69%,3.20%,3.62%
Foreign Languages & Literature,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,4.4%,1.4%,4.7%,4.2%,3.6%,4.1%
Interdisciplinary Studies,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,11.58%,2.50%,12.72%,10.71%,10.81%,11.21%
Interdisciplinary Studies,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,13.2%,2.8%,14.8%,12.3%,12.2%,12.8%
Law,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,0.47%,,0.63%,0.63%,0.71%,0.60%
Law,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,0.5%,,0.7%,0.7%,0.8%,0.7%
Letters,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,3.59%,,2.83%,3.42%,3.27%,3.35%
Letters,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,4.1%,,3.3%,3.9%,3.7%,3.8%
Mathematics,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,2.48%,13.75%,2.24%,3.00%,2.97%,2.78%
Mathematics,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,2.8%,15.3%,2.6%,3.4%,3.4%,3.2%
Medical Sciences,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,2.08%,1.25%,1.02%,1.11%,1.04%,1.41%
Medical Sciences,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,2.4%,1.4%,1.2%,1.3%,1.2%,1.6%
Physical Sciences,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,1.56%,,1.41%,1.32%,1.26%,1.39%
Physical Sciences,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,1.8%,,1.6%,1.5%,1.4%,1.6%
Psychology,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,8.18%,10.00%,9.06%,9.37%,8.84%,8.77%
Psychology,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,9.3%,11.1%,10.6%,10.8%,10.0%,10.0%
Public Admin & Social Serv Prof,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,0.40%,,0.34%,0.65%,0.50%,0.48%
Public Admin & Social Serv Prof,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,0.5%,,0.4%,0.7%,0.6%,0.6%
Social Sciences,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,22.75%,38.75%,26.80%,23.53%,22.33%,23.31%
Social Sciences,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,25.9%,43.1%,31.2%,27.1%,25.3%,26.6%
Unknown,% of Total Count As Participant Score along DisciplineNameMajor1and2Combined,0.26%,,,0.13%,0.08%,0.14%
Unknown,Count As Participant Score Percentage for Discipline along DisciplineNameMajor1and2Combined,0.3%,,,0.1%,0.1%,0.2%
