UCEAP/ Campus,Country,Program Title,Term,GPA,English-language instruction?,Sophomores?,UCEAP Program Type,Broad Field of Study,Internship: Required or Optional,Academic Year,Notes,
UCB,Argentina,"Global Internships: Buenos Aires, Argentina",Summer,2.00,Yes,Yes,n/a,n/a,Required,2024-25,Internship,
UCB,Canada,"Global Internships: Toronto, Canada - Engineering",Summer,2.00,Yes,Yes,n/a,n/a,Required,2024-25,Internship,
UCB,France,"Language, Literature and the Arts",Summer,2.00,Yes,Yes,n/a,n/a,No,2024-25,Summer Abroad,
UCB,Germany,"The Psychology of Identity, Love, and Relationships",Summer,2.00,Yes,Yes,n/a,n/a,No,2024-25,Summer Abroad,
UCB,Ghana,"Pan Afrikan Social Movements: Past, Present and Future",Summer,2.00,Yes,Yes,n/a,n/a,No,2024-25,Summer Abroad,
UCB,Greece,"Artmaking, Community, and Social Impact",Summer,2.00,Yes,Yes,n/a,n/a,Required,2024-25,Summer Abroad,
UCB,Greece,Mediterranean Nutrition and Food Systems,Summer,2.00,Yes,Yes,n/a,n/a,Required,2024-25,Summer Abroad,
UCB,Mexico,"Entre dos Mundos/Between Two Worlds | Nauatl and Spanish languages, cultures, and histories",Summer,,Yes,n/a,n/a,n/a,No,2024-25,Summer Abroad,
UCB,Philippines,Narratives of Tradition and Resistance,Summer,2.00,Yes,Yes,n/a,n/a,No,2024-25,Summer Abroad,
UCB,Portugal,Portugal: Global Entrepreneurship and Innovation in Europe,Summer,2.00,Yes,Yes,n/a,n/a,Required,2024-25,Summer Abroad,
UCB,Singapore,Global Internships: Singapore,Summer,2.00,Yes,Yes,n/a,n/a,Required,2024-25,Internship,
UCB,Spain,"Barcelona, Spain: The Other Side/El Otro Lado",Summer,2.00,Yes,Yes,n/a,n/a,No,2024-25,Summer Abroad,
UCB,Spain,"Global Internships: Barcelona, Spain",Summer,2.00,Yes,Yes,n/a,n/a,Required,2024-25,Internship,
UCB,Spain,Spanish Language and Culture,Summer,2.00,Yes,Yes,n/a,n/a,No,2024-25,Summer Abroad,
UCB,Sweden,"Global Internships: Stockholm, Sweden",Summer,2.00,Yes,Yes,n/a,n/a,Required,2024-25,Internship,
UCB,UK - England,"Global Internships: London, UK",Summer,2.00,Yes,Yes,n/a,n/a,Required,2024-25,Internship,
UCB,UK - England,London and Literary Imagination,Summer,2.00,Yes,Yes,n/a,n/a,Required,2024-25,Summer Abroad,
UCB,UK - England,"Muslims in the West: Immigration, Refugees and Islamophobia",Summer,2.00,Yes,Yes,n/a,n/a,No,2024-25,Summer Abroad,
UCD,Australia,Animal and Zoological Management Internships,Summer,,Yes,n/a,n/a,n/a,Yes,2024-25,Internship,
UCD,Australia,Sustainable Animal Production Down Under,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,Austria,Vienna - Crossroads of Central Europe,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,Belgium,Microbiology in Europe's Capital—Brussels,Summer,,Yes,n/a,n/a,n/a,No,2024-25,Summer Abroad,
UCD,Belize,Paradise Found - Sustainable Planning and Design,Summer,,Yes,n/a,n/a,n/a,Yes,2024-25,Summer Abroad,
UCD,Bhutan,GIS in the Land of the Thunder Dragon,Summer,,Yes,n/a,n/a,n/a,Yes,2024-25,Summer Abroad,
UCD,Bolivia,Pediatric Health Internships,Summer,,Yes,n/a,n/a,n/a,Yes,2024-25,Summer Abroad,
UCD,Chile,"Human Rights, Memory and Democracy",Summer,,Yes,n/a,n/a,n/a,Yes,2024-25,Summer Abroad,
UCD,Costa Rica,Education Internships,Summer,,Yes,n/a,n/a,n/a,Yes,2024-25,Internship,
UCD,Costa Rica,"Wildlife, Conservation, and Veterinary Medicine Internships",Summer,,Yes,n/a,n/a,n/a,Yes,2024-25,Internship,
UCD,France,Introduction to Winemaking,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,Ghana,Pediatric Care and Reproductive Health Internships,Summer,,Yes,n/a,n/a,n/a,Yes,2024-25,Internship,
UCD,Greece,Writers in Greece,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,Iceland,Thermodynamics in the Land of Fire and Ice,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,Ireland,Bio Sci 2A on the Emerald Isle,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,Italy,"Art, Culture, History in the Eternal City",Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,Italy,Immersive Artistry - Summer Sketching in Italy,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,Italy,Science of the Mind,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
